AreaName,PremisDescription,Total
77th Street,SINGLE FAMILY DWELLING,5635
77th Street,STREET,3659
77th Street,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1633
77th Street,SIDEWALK,785
77th Street,"VEHICLE, PASSENGER/TRUCK",577
77th Street,PARKING LOT,509
77th Street,OTHER BUSINESS,327
77th Street,DRIVEWAY,222
77th Street,ALLEY,171
77th Street,YARD (RESIDENTIAL/BUSINESS),117
77th Street,MOTEL,115
77th Street,RESTAURANT/FAST FOOD,98
77th Street,GAS STATION,89
77th Street,LAUNDROMAT,89
77th Street,MINI-MART,79
77th Street,MARKET,78
77th Street,TRANSITIONAL HOUSING/HALFWAY HOUSE,75
77th Street,POLICE FACILITY,75
77th Street,LIQUOR STORE,68
77th Street,ELEMENTARY SCHOOL,68
77th Street,MTA BUS,68
77th Street,GARAGE/CARPORT,60
77th Street,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),51
77th Street,CLOTHING STORE,49
77th Street,AUTO REPAIR SHOP,45
77th Street,HIGH SCHOOL,43
77th Street,BUS STOP,42
77th Street,PARK/PLAYGROUND,42
77th Street,"PORCH, RESIDENTIAL",39
77th Street,GROUP HOME,37
77th Street,OTHER RESIDENCE,35
77th Street,JUNIOR HIGH SCHOOL,32
77th Street,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",27
77th Street,MISSIONS/SHELTERS,25
77th Street,HOTEL,25
77th Street,CELL PHONE STORE,24
77th Street,CAR WASH,21
77th Street,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",21
77th Street,OTHER PREMISE,19
77th Street,DRUG STORE,18
77th Street,AUTOMATED TELLER MACHINE (ATM),16
77th Street,CONSTRUCTION SITE,15
77th Street,NULL,15
77th Street,DEPARTMENT STORE,13
77th Street,OTHER STORE,13
77th Street,DETENTION/JAIL FACILITY,12
77th Street,NURSING/CONVALESCENT/RETIREMENT HOME,12
77th Street,BEAUTY/BARBER SHOP,12
77th Street,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,11
77th Street,SWAP MEET,11
77th Street,BANK,10
77th Street,MEDICAL/DENTAL OFFICES,10
77th Street,CHECK CASHING*,9
77th Street,SPECIALTY SCHOOL/OTHER,9
77th Street,WAREHOUSE,8
77th Street,MAIL BOX,8
77th Street,OTHER/OUTSIDE,8
77th Street,MEDICAL MARIJUANA FACILITIES/BUSINESSES,8
77th Street,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",8
77th Street,ABANDONED BUILDING ABANDONED HOUSE,7
77th Street,TOW YARD*,7
77th Street,SHOPPING MALL (COMMON AREA),7
77th Street,DRIVE THRU*,6
77th Street,RECYCLING CENTER,6
77th Street,OFFICE BUILDING/OFFICE,6
77th Street,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,6
77th Street,NAIL SALON,6
77th Street,HARDWARE/BUILDING SUPPLY,5
77th Street,PARKING UNDERGROUND/BUILDING,5
77th Street,BUS-CHARTER/PRIVATE,5
77th Street,PATIO*,5
77th Street,FURNITURE STORE,5
77th Street,FREEWAY,5
77th Street,LIBRARY,5
77th Street,DAY CARE/CHILDREN*,5
77th Street,BEAUTY SUPPLY STORE,5
77th Street,PUBLIC STORAGE,4
77th Street,TRAIN TRACKS,4
77th Street,PRIVATE SCHOOL/PRESCHOOL,4
77th Street,STORAGE SHED,4
77th Street,POST OFFICE,4
77th Street,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",4
77th Street,TOBACCO SHOP,4
77th Street,JEWELRY STORE,4
77th Street,AUTO SALES LOT,3
77th Street,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",3
77th Street,CONDOMINIUM/TOWNHOUSE,3
77th Street,CYBERSPACE,3
77th Street,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",3
77th Street,TRANSIENT ENCAMPMENT,3
77th Street,POOL-PUBLIC/OUTDOOR OR INDOOR*,3
77th Street,VACANT LOT,2
77th Street,PROJECT/TENEMENT/PUBLIC HOUSING,2
77th Street,HOSPITAL,2
77th Street,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,2
77th Street,SYNAGOGUE/TEMPLE,2
77th Street,FIRE STATION,2
77th Street,APARTMENT/CONDO COMMON LAUNDRY ROOM,2
77th Street,STAIRWELL*,2
77th Street,MTA PROPERTY OR PARKING LOT,2
77th Street,AUTO SUPPLY STORE*,2
77th Street,"BUS, SCHOOL, CHURCH",2
77th Street,ENTERTAINMENT/COMEDY CLUB (OTHER),1
77th Street,TV/RADIO/APPLIANCE,1
77th Street,HOCKEY RINK/ICE HOCKEY,1
77th Street,TRANSPORTATION FACILITY (AIRPORT),1
77th Street,HEALTH SPA/GYM,1
77th Street,PHARMACY INSIDE STORE OR SUPERMARKET*,1
77th Street,BUS STOP/LAYOVER (ALSO QUERY 124),1
77th Street,TAXI,1
77th Street,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",1
77th Street,FACTORY,1
77th Street,WEBSITE,1
77th Street,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",1
77th Street,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,1
77th Street,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",1
77th Street,BAR/COCKTAIL/NIGHTCLUB,1
77th Street,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",1
77th Street,"BUS DEPOT/TERMINAL, OTHER THAN MTA",1
77th Street,BOOK STORE,1
77th Street,VIDEO RENTAL STORE,1
77th Street,MANUFACTURING COMPANY,1
77th Street,OIL REFINERY,1
Central,STREET,2908
Central,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",2619
Central,SIDEWALK,1977
Central,PARKING LOT,1416
Central,OTHER BUSINESS,822
Central,"VEHICLE, PASSENGER/TRUCK",745
Central,LA UNION STATION (NOT LINE SPECIFIC),471
Central,PARKING UNDERGROUND/BUILDING,372
Central,HOTEL,366
Central,RESTAURANT/FAST FOOD,231
Central,OTHER PREMISE,216
Central,DEPARTMENT STORE,214
Central,GARAGE/CARPORT,209
Central,SINGLE FAMILY DWELLING,199
Central,OTHER STORE,173
Central,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",167
Central,OFFICE BUILDING/OFFICE,152
Central,CLOTHING STORE,152
Central,PARK/PLAYGROUND,143
Central,MTA - RED LINE - 7TH AND METRO CENTER,140
Central,OTHER/OUTSIDE,128
Central,MTA BUS,123
Central,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,122
Central,ALLEY,108
Central,BANK,95
Central,POLICE FACILITY,95
Central,NIGHT CLUB (OPEN EVENINGS ONLY),94
Central,MISSIONS/SHELTERS,92
Central,MTA - RED LINE - PERSHING SQUARE,90
Central,MARKET,86
Central,AUTOMATED TELLER MACHINE (ATM),86
Central,BAR/COCKTAIL/NIGHTCLUB,86
Central,7TH AND METRO CENTER (NOT LINE SPECIFIC),85
Central,MTA - RED LINE - UNION STATION,79
Central,OTHER RESIDENCE,68
Central,DRUG STORE,66
Central,MINI-MART,66
Central,HEALTH SPA/GYM,63
Central,BUS STOP,62
Central,HOSPITAL,61
Central,LIBRARY,60
Central,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",55
Central,STORAGE SHED,53
Central,STAPLES CENTER *,52
Central,JEWELRY STORE,50
Central,DETENTION/JAIL FACILITY,48
Central,SHOPPING MALL (COMMON AREA),46
Central,CONSTRUCTION SITE,46
Central,GAS STATION,45
Central,WAREHOUSE,44
Central,CONVENTION CENTER,42
Central,HIGH-RISE BUILDING,41
Central,BAR/SPORTS BAR (OPEN DAY & NIGHT),36
Central,CONDOMINIUM/TOWNHOUSE,36
Central,MTA - BLUE LINE - GRAND/LATTC,32
Central,MTA PROPERTY OR PARKING LOT,29
Central,MTA - RED LINE - CIVIC CENTER/GRAND PARK,28
Central,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),26
Central,MTA - GOLD LINE - UNION STATION,24
Central,DRIVEWAY,24
Central,THEATRE/MOVIE,23
Central,MTA - BLUE LINE - PICO,23
Central,YARD (RESIDENTIAL/BUSINESS),20
Central,MTA - BLUE LINE - 7TH AND METRO CENTER,20
Central,WEBSITE,18
Central,CYBERSPACE,17
Central,MAIL BOX,16
Central,PUBLIC STORAGE,16
Central,LIQUOR STORE,15
Central,ABANDONED BUILDING ABANDONED HOUSE,14
Central,SPORTS ARENA,13
Central,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,13
Central,PATIO*,13
Central,MTA - GOLD LINE - CHINATOWN,12
Central,MTA - EXPO LINE - 7TH AND METRO CENTER,12
Central,CELL PHONE STORE,12
Central,ELEVATOR,11
Central,HIGH SCHOOL,11
Central,MEDICAL/DENTAL OFFICES,11
Central,BALCONY*,11
Central,STAIRWELL*,10
Central,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",9
Central,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",9
Central,MOTEL,9
Central,NURSERY/FLOWER SHOP,9
Central,TOBACCO SHOP,9
Central,SPECIALTY SCHOOL/OTHER,9
Central,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,8
Central,FREEWAY,8
Central,BEAUTY/BARBER SHOP,8
Central,FIRE STATION,8
Central,MTA - EXPO LINE - PICO,8
