Year,Month,Total
2020,1,5326
2020,2,5252
2020,3,4963
2020,4,4146
2020,5,4454
2020,6,4524
2020,7,4671
2020,8,4540
2020,9,4523
2020,10,4619
2020,11,4340
2020,12,4304
2021,1,4515
2021,2,4486
2021,3,4371
2021,4,4549
2021,5,4708
2021,6,4760
2021,7,5353
2021,8,5061
2021,9,5154
2021,10,5329
2021,11,5424
2021,12,5241
2022,1,5020
2022,2,5734
2022,3,5728
2022,4,6161
2022,5,6189
2022,6,6540
2022,7,5829
2022,8,5919
2022,9,5989
2022,10,6176
2022,11,5950
2022,12,6399
2023,1,5795
2023,2,6483
2023,3,5390
2023,4,5441
2023,5,5271
2023,6,5413
2023,7,5493
2023,8,5461
2023,9,5456
2023,10,5066
2023,11,4900
