CrimeDescription,CaseStatusDescription,Total
ARSON,Adult Arrest,64
ARSON,Adult Other,14
ARSON,Invest Cont,658
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Adult Arrest,170
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Adult Other,39
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Invest Cont,71
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Juv Arrest,5
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Adult Arrest,3405
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Adult Other,2393
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Invest Cont,9606
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Juv Arrest,163
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Juv Other,26
ATTEMPTED ROBBERY,Adult Arrest,279
ATTEMPTED ROBBERY,Adult Other,119
ATTEMPTED ROBBERY,Invest Cont,1000
ATTEMPTED ROBBERY,Juv Arrest,23
ATTEMPTED ROBBERY,Juv Other,3
BATTERY - SIMPLE ASSAULT,Adult Arrest,1322
BATTERY - SIMPLE ASSAULT,Adult Other,5398
BATTERY - SIMPLE ASSAULT,Invest Cont,14771
BATTERY - SIMPLE ASSAULT,Juv Arrest,91
BATTERY - SIMPLE ASSAULT,Juv Other,178
BATTERY ON A FIREFIGHTER,Adult Arrest,14
BATTERY ON A FIREFIGHTER,Adult Other,11
BATTERY ON A FIREFIGHTER,Invest Cont,45
BATTERY POLICE (SIMPLE),Adult Arrest,272
BATTERY POLICE (SIMPLE),Adult Other,80
BATTERY POLICE (SIMPLE),Invest Cont,349
BATTERY POLICE (SIMPLE),Juv Arrest,27
BATTERY POLICE (SIMPLE),Juv Other,5
BATTERY WITH SEXUAL CONTACT,Adult Arrest,121
BATTERY WITH SEXUAL CONTACT,Adult Other,251
BATTERY WITH SEXUAL CONTACT,Invest Cont,856
BATTERY WITH SEXUAL CONTACT,Juv Arrest,14
BATTERY WITH SEXUAL CONTACT,Juv Other,19
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Adult Other,1
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Invest Cont,4
BIGAMY,Invest Cont,1
BIKE - ATTEMPTED STOLEN,Invest Cont,2
BIKE - STOLEN,Adult Arrest,23
BIKE - STOLEN,Adult Other,18
BIKE - STOLEN,Invest Cont,2216
BIKE - STOLEN,Juv Arrest,1
BLOCKING DOOR INDUCTION CENTER,Invest Cont,1
BOMB SCARE,Adult Arrest,13
BOMB SCARE,Adult Other,6
BOMB SCARE,Invest Cont,112
BOMB SCARE,Juv Arrest,3
BRANDISH WEAPON,Adult Arrest,726
BRANDISH WEAPON,Adult Other,924
BRANDISH WEAPON,Invest Cont,2529
BRANDISH WEAPON,Juv Arrest,24
BRANDISH WEAPON,Juv Other,15
BRIBERY,Adult Arrest,2
"BUNCO, ATTEMPT",Adult Other,3
"BUNCO, ATTEMPT",Invest Cont,97
"BUNCO, GRAND THEFT",Adult Arrest,20
"BUNCO, GRAND THEFT",Adult Other,48
"BUNCO, GRAND THEFT",Invest Cont,1747
"BUNCO, PETTY THEFT",Adult Arrest,8
"BUNCO, PETTY THEFT",Adult Other,18
"BUNCO, PETTY THEFT",Invest Cont,598
"BUNCO, PETTY THEFT",UNK,1
BURGLARY,Adult Arrest,1300
BURGLARY,Adult Other,399
BURGLARY,Invest Cont,14543
BURGLARY,Juv Arrest,14
BURGLARY FROM VEHICLE,Adult Arrest,216
BURGLARY FROM VEHICLE,Adult Other,120
BURGLARY FROM VEHICLE,Invest Cont,16014
BURGLARY FROM VEHICLE,Juv Arrest,5
"BURGLARY FROM VEHICLE, ATTEMPTED",Adult Arrest,15
"BURGLARY FROM VEHICLE, ATTEMPTED",Adult Other,6
"BURGLARY FROM VEHICLE, ATTEMPTED",Invest Cont,191
"BURGLARY, ATTEMPTED",Adult Arrest,111
"BURGLARY, ATTEMPTED",Adult Other,33
"BURGLARY, ATTEMPTED",Invest Cont,982
"BURGLARY, ATTEMPTED",Juv Arrest,3
CHILD ABANDONMENT,Adult Arrest,2
CHILD ABANDONMENT,Adult Other,5
CHILD ABANDONMENT,Invest Cont,5
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Adult Arrest,57
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Adult Other,54
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Invest Cont,77
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Juv Other,1
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Adult Arrest,300
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Adult Other,461
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Invest Cont,381
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Juv Other,6
CHILD ANNOYING (17YRS & UNDER),Adult Arrest,54
CHILD ANNOYING (17YRS & UNDER),Adult Other,47
CHILD ANNOYING (17YRS & UNDER),Invest Cont,260
CHILD ANNOYING (17YRS & UNDER),Juv Other,2
CHILD NEGLECT (SEE 300 W.I.C.),Adult Arrest,117
CHILD NEGLECT (SEE 300 W.I.C.),Adult Other,107
CHILD NEGLECT (SEE 300 W.I.C.),Invest Cont,108
CHILD NEGLECT (SEE 300 W.I.C.),Juv Arrest,1
CHILD NEGLECT (SEE 300 W.I.C.),Juv Other,1
CHILD PORNOGRAPHY,Adult Arrest,1
CHILD PORNOGRAPHY,Adult Other,3
CHILD PORNOGRAPHY,Invest Cont,70
CHILD PORNOGRAPHY,Juv Arrest,1
CHILD PORNOGRAPHY,Juv Other,8
CHILD STEALING,Adult Arrest,13
CHILD STEALING,Adult Other,85
CHILD STEALING,Invest Cont,41
CONSPIRACY,Adult Arrest,1
CONSPIRACY,Adult Other,3
CONSPIRACY,Invest Cont,6
CONTEMPT OF COURT,Adult Arrest,157
CONTEMPT OF COURT,Adult Other,357
CONTEMPT OF COURT,Invest Cont,297
CONTEMPT OF COURT,Juv Arrest,2
CONTRIBUTING,Adult Other,5
CONTRIBUTING,Invest Cont,12
CONTRIBUTING,Juv Other,2
COUNTERFEIT,Adult Other,1
COUNTERFEIT,Invest Cont,23
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Adult Arrest,4
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Adult Other,1
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Invest Cont,32
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Adult Arrest,6
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Adult Other,3
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Invest Cont,31
CRIMINAL HOMICIDE,Adult Arrest,263
CRIMINAL HOMICIDE,Adult Other,30
CRIMINAL HOMICIDE,Invest Cont,172
CRIMINAL HOMICIDE,Juv Arrest,18
CRIMINAL THREATS - NO WEAPON DISPLAYED,Adult Arrest,1033
CRIMINAL THREATS - NO WEAPON DISPLAYED,Adult Other,1596
CRIMINAL THREATS - NO WEAPON DISPLAYED,Invest Cont,3005
CRIMINAL THREATS - NO WEAPON DISPLAYED,Juv Arrest,25
CRIMINAL THREATS - NO WEAPON DISPLAYED,Juv Other,16
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Adult Arrest,120
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Adult Other,201
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Invest Cont,325
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Juv Arrest,10
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Juv Other,14
CRUELTY TO ANIMALS,Adult Arrest,13
CRUELTY TO ANIMALS,Adult Other,13
CRUELTY TO ANIMALS,Invest Cont,52
CRUELTY TO ANIMALS,Juv Arrest,1
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Adult Arrest,4
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Adult Other,8
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Invest Cont,76
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Adult Arrest,2
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Adult Other,3
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Invest Cont,19
DISCHARGE FIREARMS/SHOTS FIRED,Adult Arrest,78
DISCHARGE FIREARMS/SHOTS FIRED,Adult Other,37
DISCHARGE FIREARMS/SHOTS FIRED,Invest Cont,717
