VictimDescent,VictimSex,VictimAge,Total
,,,246416
,,-2,7
,,-1,25
,,0,31214
,,2,130
,,3,164
,,4,158
,,5,184
,,6,198
,,7,199
,,8,204
,,9,240
,,10,243
,,11,400
,,12,571
,,13,745
,,14,919
,,15,1127
,,16,1230
,,17,1290
,,18,1785
,,19,2918
,,20,3478
,,21,4205
,,22,4639
,,23,4598
,,24,5043
,,25,5556
,,26,5573
,,27,5913
,,28,6125
,,29,6324
,,30,6510
,,31,6374
,,32,6167
,,33,5990
,,34,5785
,,35,6346
,,36,5346
,,37,5183
,,38,4980
,,39,4635
,,40,4796
,,41,4504
,,42,4177
,,43,3887
,,44,3821
,,45,3732
,,46,3487
,,47,3415
,,48,3344
,,49,3231
,,50,3719
,,51,3183
,,52,3080
,,53,3032
,,54,2857
,,55,2781
,,56,2681
,,57,2503
,,58,2555
,,59,2438
,,60,2316
,,61,2139
,,62,2085
,,63,1919
,,64,1830
,,65,1694
,,66,1575
,,67,1393
,,68,1211
,,69,1106
,,70,983
,,71,865
,,72,880
,,73,834
,,74,690
,,75,604
,,76,555
,,77,489
,,78,451
,,79,381
,,80,368
,,81,291
,,82,258
,,83,253
,,84,164
,,85,199
,,86,162
,,87,122
,,88,100
,,89,83
,,90,86
,,91,64
,,92,45
,,93,43
,,94,30
,,95,34
,,96,26
,,97,19
,,98,27
,,99,98
,F,,108127
,F,-2,1
,F,-1,3
,F,0,1134
,F,2,59
,F,3,88
,F,4,93
,F,5,109
,F,6,107
,F,7,120
,F,8,120
,F,9,137
,F,10,154
,F,11,259
,F,12,377
,F,13,480
,F,14,566
,F,15,715
,F,16,769
,F,17,753
,F,18,952
,F,19,1412
,F,20,1657
,F,21,1982
,F,22,2316
,F,23,2499
,F,24,2846
,F,25,3074
,F,26,3014
,F,27,3205
,F,28,3368
,F,29,3330
,F,30,3393
,F,31,3418
,F,32,3272
,F,33,3157
,F,34,3026
,F,35,2766
,F,36,2663
,F,37,2637
,F,38,2485
,F,39,2287
,F,40,2302
,F,41,2175
,F,42,2089
,F,43,1909
,F,44,1894
,F,45,1810
,F,46,1595
,F,47,1625
,F,48,1618
,F,49,1519
,F,50,1563
,F,51,1465
,F,52,1402
,F,53,1326
,F,54,1309
,F,55,1208
,F,56,1143
,F,57,1120
,F,58,1134
,F,59,1089
,F,60,962
,F,61,905
,F,62,902
,F,63,797
,F,64,765
,F,65,734
,F,66,701
,F,67,600
,F,68,552
,F,69,492
