CrimeCode,CrimeDescription
436,LYNCHING - ATTEMPTED
626,INTIMATE PARTNER - SIMPLE ASSAULT
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
943,CRUELTY TO ANIMALS
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
649,DOCUMENT FORGERY / STOLEN FELONY
237,CHILD NEGLECT (SEE 300 W.I.C.)
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
888,TRESPASSING
434,FALSE IMPRISONMENT
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
320,"BURGLARY, ATTEMPTED"
670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
933,PROWLER
850,INDECENT EXPOSURE
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
310,BURGLARY
814,CHILD PORNOGRAPHY
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
666,"BUNCO, ATTEMPT"
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
121,"RAPE, FORCIBLE"
624,BATTERY - SIMPLE ASSAULT
922,CHILD STEALING
813,CHILD ANNOYING (17YRS & UNDER)
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
435,LYNCHING
210,ROBBERY
622,BATTERY ON A FIREFIGHTER
950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
520,VEHICLE - ATTEMPT STOLEN
901,VIOLATION OF RESTRAINING ORDER
351,PURSE SNATCHING
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
940,EXTORTION
443,SHOPLIFTING - ATTEMPT
903,CONTEMPT OF COURT
471,TILL TAP - PETTY ($950 & UNDER)
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
820,ORAL COPULATION
662,"BUNCO, GRAND THEFT"
345,DISHONEST EMPLOYEE - GRAND THEFT
647,THROWING OBJECT AT MOVING VEHICLE
480,BIKE - STOLEN
760,LEWD/LASCIVIOUS ACTS WITH CHILD
437,RESISTING ARREST
886,DISTURBING THE PEACE
928,THREATENING PHONE CALLS/LETTERS
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
