DateOccured,Year,Month,Day
2021-10-11,2021,10,11
2020-08-05,2020,8,5
2021-10-02,2021,10,2
2023-11-08,2023,11,8
2022-08-02,2022,8,2
2020-10-04,2020,10,4
2021-05-12,2021,5,12
2020-03-07,2020,3,7
2022-06-06,2022,6,6
2023-02-08,2023,2,8
2020-02-04,2020,2,4
2021-09-11,2021,9,11
2022-07-07,2022,7,7
2021-12-05,2021,12,5
2023-03-12,2023,3,12
2022-04-02,2022,4,2
2022-12-09,2022,12,9
2022-03-12,2022,3,12
2022-04-10,2022,4,10
2022-12-02,2022,12,2
2021-10-08,2021,10,8
2020-02-12,2020,2,12
2021-05-03,2021,5,3
2023-01-01,2023,1,1
2023-05-03,2023,5,3
2021-02-02,2021,2,2
2022-08-11,2022,8,11
2021-07-10,2021,7,10
2020-09-07,2020,9,7
2023-09-03,2023,9,3
2020-05-08,2020,5,8
2023-10-12,2023,10,12
2022-05-01,2022,5,1
2021-11-11,2021,11,11
2021-06-04,2021,6,4
2021-03-07,2021,3,7
2021-09-05,2021,9,5
2020-06-04,2020,6,4
2023-08-10,2023,8,10
2022-01-09,2022,1,9
2023-06-01,2023,6,1
2022-12-11,2022,12,11
2021-11-01,2021,11,1
2022-05-07,2022,5,7
2022-12-12,2022,12,12
2022-09-07,2022,9,7
2022-09-06,2022,9,6
2021-09-09,2021,9,9
2023-11-04,2023,11,4
2023-03-04,2023,3,4
2022-02-01,2022,2,1
2022-07-05,2022,7,5
2021-07-11,2021,7,11
2021-05-07,2021,5,7
2022-04-12,2022,4,12
2020-05-10,2020,5,10
2023-07-04,2023,7,4
2022-06-02,2022,6,2
2021-09-06,2021,9,6
2022-06-05,2022,6,5
2020-11-06,2020,11,6
2022-08-03,2022,8,3
2020-07-05,2020,7,5
2020-03-09,2020,3,9
2021-07-08,2021,7,8
2023-08-03,2023,8,3
2020-03-10,2020,3,10
2020-10-05,2020,10,5
2022-08-07,2022,8,7
2020-03-11,2020,3,11
2022-08-08,2022,8,8
2022-01-10,2022,1,10
2021-04-07,2021,4,7
2020-06-05,2020,6,5
2021-06-01,2021,6,1
2023-08-06,2023,8,6
2023-01-02,2023,1,2
2022-10-11,2022,10,11
2020-09-04,2020,9,4
2020-08-04,2020,8,4
2023-05-09,2023,5,9
2022-01-08,2022,1,8
2022-04-09,2022,4,9
2022-11-01,2022,11,1
2021-12-10,2021,12,10
2020-02-11,2020,2,11
2022-04-06,2022,4,6
2020-07-02,2020,7,2
2022-05-06,2022,5,6
2020-08-09,2020,8,9
2020-06-12,2020,6,12
2023-06-07,2023,6,7
2023-11-05,2023,11,5
2023-04-12,2023,4,12
2021-12-12,2021,12,12
2021-12-04,2021,12,4
2023-06-12,2023,6,12
2022-12-08,2022,12,8
2021-12-08,2021,12,8
2021-05-09,2021,5,9
2021-08-12,2021,8,12
2021-01-05,2021,1,5
2023-04-01,2023,4,1
2022-08-12,2022,8,12
2022-03-11,2022,3,11
2022-07-10,2022,7,10
2020-07-03,2020,7,3
2023-01-11,2023,1,11
2022-12-06,2022,12,6
2020-12-12,2020,12,12
2020-12-09,2020,12,9
2020-08-07,2020,8,7
2020-02-09,2020,2,9
2023-10-06,2023,10,6
2022-10-06,2022,10,6
2021-07-03,2021,7,3
2023-09-12,2023,9,12
2022-07-01,2022,7,1
2022-11-10,2022,11,10
2021-09-10,2021,9,10
2023-04-09,2023,4,9
2022-02-12,2022,2,12
2021-05-10,2021,5,10
2021-11-05,2021,11,5
2023-09-08,2023,9,8
2020-11-09,2020,11,9
2021-08-01,2021,8,1
2021-12-01,2021,12,1
2020-09-03,2020,9,3
2021-02-05,2021,2,5
2022-12-05,2022,12,5
2020-04-06,2020,4,6
2022-05-02,2022,5,2
2022-08-05,2022,8,5
2022-12-10,2022,12,10
2021-02-10,2021,2,10
2022-12-04,2022,12,4
2023-07-07,2023,7,7
2023-02-01,2023,2,1
2022-08-10,2022,8,10
2021-10-05,2021,10,5
2020-06-10,2020,6,10
2020-07-12,2020,7,12
2023-09-01,2023,9,1
2023-04-04,2023,4,4
2022-09-09,2022,9,9
2021-08-03,2021,8,3
2020-05-06,2020,5,6
2021-07-02,2021,7,2
2021-02-01,2021,2,1
2020-01-10,2020,1,10
2020-03-03,2020,3,3
2020-11-05,2020,11,5
2023-04-06,2023,4,6
2022-02-10,2022,2,10
2022-02-06,2022,2,6
2021-02-06,2021,2,6
2021-03-12,2021,3,12
2023-05-02,2023,5,2
2022-02-04,2022,2,4
2023-04-10,2023,4,10
2020-10-09,2020,10,9
2021-11-07,2021,11,7
2020-11-10,2020,11,10
2020-04-09,2020,4,9
2022-06-03,2022,6,3
2022-03-09,2022,3,9
2021-07-01,2021,7,1
2023-07-12,2023,7,12
2023-09-10,2023,9,10
2020-08-12,2020,8,12
2021-06-02,2021,6,2
2023-06-11,2023,6,11
2023-01-12,2023,1,12
